country,SPI,HDIrank,HDIindex,HDI_cat,happiness,gendereq,infantmort,birth_MF,sixty_MF,logGDP
Afghanistan,31.21,168,0.494239738,Low,4.220168591,NA,0.0532,62.7,16.3,23.69209043
Albania,70.85,68,0.781700559,High,4.511100769,0.703645707,0.0081,76.4,20.8,23.19843205
Algeria,65.64,85,0.752495133,High,5.340853691,0.641996089,0.021,76.4,21.9,25.79247817
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.30471549
Andorra,NA,35,0.855805425,Very High,NA,NA,0.0033,NA,NA,21.78012234
Angola,36.77,147,0.576933263,Medium,NA,0.64324886,0.0558,62.6,17.3,25.28068595
Antigua & Barbuda,NA,70,0.777726905,High,NA,NA,0.0056,75,19.7,21.10180138
Argentina,74.48,47,0.821758759,Very High,6.427221298,0.735213941,0.0097,76.9,21.8,27.04198347
Armenia,69.66,83,0.749264587,High,4.325471878,0.669264796,0.0119,74.8,19.6,23.07902529
Australia,87.66,3,0.937868044,Very High,7.250080109,0.721366192,0.0031,82.9,25.6,27.82002033
Austria,86.5,20,0.905822119,Very High,7.048071861,0.71583317,0.003,81.9,24.4,26.69146176
Azerbaijan,NA,80,0.756977877,High,5.303894997,0.683746917,0.0219,73.1,18.9,24.35735956
Bahamas,NA,54,0.806325238,Very High,NA,0.729054299,0.0061,75.7,22.6,23.19464811
Bahrain,NA,43,0.845803988,Very High,6.169673443,0.614973758,0.0064,79.1,21.7,24.19376184
Bangladesh,50.58,136,0.597060192,Medium,4.5561409,0.698260026,0.0283,72.7,19.6,26.12330461
Barbados,75.45,58,0.798810073,Very High,NA,0.738751343,0.0119,75.6,19.8,22.23377804
Belarus,71.02,53,0.804957801,Very High,5.177899361,0.736932075,0.0029,74.2,19.6,24.58867213
Belgium,86.73,17,0.914538031,Very High,6.948936462,0.745150454,0.0031,81.2,24.1,26.87076358
Belize,NA,106,0.708506636,High,NA,0.67586411,0.0128,70.5,17.1,21.32218945
Benin,48.01,163,0.512096523,Low,4.007357597,0.635570186,0.0651,61.1,17.2,22.87190219
Bhutan,64.29,134,0.608517766,Medium,NA,0.641708105,0.0265,70.6,20.7,21.51745168
Bolivia,63.49,118,0.688871019,Medium,5.769723415,0.745746812,0.029,71.5,21.4,24.24789328
Bosnia & Herzegovina,NA,77,0.765879577,High,5.180865288,0.685045903,0.0051,77.3,20.7,23.55123535
Botswana,61.95,101,0.712170623,High,3.498936653,0.714995454,0.0323,66.1,17.4,23.4736537
Brazil,73.91,79,0.758176247,High,6.374817371,0.687305174,0.0146,75.1,21.7,28.21546331
Brunei,NA,39,0.852418423,Very High,NA,0.668593787,0.009,76.4,20.4,23.15693656
Bulgaria,74.24,51,0.809595604,Very High,4.837560654,0.725710839,0.0067,74.8,19.8,24.69809262
Burkina Faso,43.07,183,0.420211532,Low,4.205634594,0.639605185,0.0526,60.3,15.5,23.16114916
Burundi,37.63,185,0.417715478,Low,NA,0.76752193,0.0441,60.1,16.6,21.8242184
Cambodia,47.09,146,0.576220363,Medium,4.461259365,0.658072017,0.0263,69.4,17.4,23.71983515
Cameroon,44.5,151,0.552967337,Medium,4.816232204,0.68406598,0.0566,58.1,16.5,24.1957768
Canada,87.65,12,0.92227563,Very High,7.244845867,0.730934532,0.0046,82.8,25.7,28.060053
Cape Verde,66.42,125,0.651752113,Medium,NA,0.729170294,0.0159,73.2,18.6,21.2173078
Central African Republic,26.01,188,0.362201365,Low,2.693061113,NA,0.0892,53,16,21.2860014
Chad,26.92,186,0.405306289,Low,4.029350281,0.586692753,0.075,54.3,15.9,22.96525495
Chile,80.47,44,0.84153297,Very High,6.579056263,0.699400862,0.0066,79.5,23.4,26.24487074
